Id,Portfolio Dept?,Title,Portfolio,Classification,Type of Body,GFS Sector Classification,Materiality,Description,Established By / Under,Established by/Under More Info,Creation Date,GFS Function / Sector Reported,PS Act Body,Average Staffing Level (ASL),Max Number of Board / Committee Members,Paid Members?,Board / Committee Appointed by,Board / Committee Appointed More Info,Annual Report Prepared and Tabled?,Auditor,Auditor Other,ABN,Parent Organisation,Parent Board / Non-Board Title,Total Appropriations ($000),Total Departmental Expenses ($000),Head Office Street Address,Head Office Suburb,Head Office State,Head Office Postcode,Head Office Country,Website Address,Strategic/Corporate/Organisational Plan,Annual Reports,Budget Documentation
B-002694,,RDA NT Northern Territory,"Infrastructure, Transport, Regional Development, Communications and the Arts",C. Other,L. Bodies Linked to the Australian Government through Statutory Contracts Agreements and Delegations,,,"One of 53 Regional Development Australia (RDA) committees established Australia-wide. RDA is a national network of Committees made up of local leaders who work with all levels of government, business and community groups to support the economic development of their regions. RDA Committees have an active and facilitative role in their communities and a clear focus on growing strong and confident regional economies that harness their competitive advantages, seize on economic opportunities and attract investment. Collaborating with other RDA Committees, all levels of government, and the private sector, RDA Committees: a) Facilitate regional economic development outcomes, investment, local procurement and jobs. b) Promote greater regional awareness of and engagement with Australian Government policies, grant programs and research. c) Improve Commonwealth regional policy making by providing intelligence and evidence based advice to the Australian Government on regional development issues. d) Co-ordinate the development of a strategic regional plan, or work with suitable existing regional plans that will align with the Commonwealth?s regional priorities.",Agreement / Treaty / Council Order,Funding Agreement,1/07/2009,,,,0,No,Ministerial,,"Yes, but not tabled",Other,Private Sector,17 438 221 797,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",,,,"Suite 8B, Level 1, 25 Parap Road",Parap,NT,820,Australia,http://www.rdant.com.au,,,
B-002695,,RDA QLD Brisbane,"Infrastructure, Transport, Regional Development, Communications and the Arts",C. Other,L. Bodies Linked to the Australian Government through Statutory Contracts Agreements and Delegations,,,"One of 53 Regional Development Australia (RDA) committees established Australia-wide. RDA is a national network of Committees made up of local leaders who work with all levels of government, business and community groups to support the economic development of their regions. RDA Committees have an active and facilitative role in their communities and a clear focus on growing strong and confident regional economies that harness their competitive advantages, seize on economic opportunities and attract investment. Collaborating with other RDA Committees, all levels of government, and the private sector, RDA Committees: a) Facilitate regional economic development outcomes, investment, local procurement and jobs. b) Promote greater regional awareness of and engagement with Australian Government policies, grant programs and research. c) Improve Commonwealth regional policy making by providing intelligence and evidence based advice to the Australian Government on regional development issues. d) Co-ordinate the development of a strategic regional plan, or work with suitable existing regional plans that will align with the Commonwealth?s regional priorities.",Agreement / Treaty / Council Order,Funding Agreement,1/07/2009,,,,0,No,Ministerial,,"Yes, but not tabled",Other,Private Sector,32 789 512 585,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",,,,Level 34 / 1 Eagle St,Brisbane,QLD,4001,Australia,http://www.rdabrisbane.org.au,,,
B-002700,,RDA QLD Ipswich & West Moreton,"Infrastructure, Transport, Regional Development, Communications and the Arts",C. Other,L. Bodies Linked to the Australian Government through Statutory Contracts Agreements and Delegations,,,"One of 53 Regional Development Australia (RDA) committees established Australia-wide. RDA is a national network of Committees made up of local leaders who work with all levels of government, business and community groups to support the economic development of their regions. RDA Committees have an active and facilitative role in their communities and a clear focus on growing strong and confident regional economies that harness their competitive advantages, seize on economic opportunities and attract investment. Collaborating with other RDA Committees, all levels of government, and the private sector, RDA Committees: a) Facilitate regional economic development outcomes, investment, local procurement and jobs. b) Promote greater regional awareness of and engagement with Australian Government policies, grant programs and research. c) Improve Commonwealth regional policy making by providing intelligence and evidence based advice to the Australian Government on regional development issues. d) Co-ordinate the development of a strategic regional plan, or work with suitable existing regional plans that will align with the Commonwealth?s regional priorities.",Agreement / Treaty / Council Order,Funding Agreement,1/07/2009,,,,0,No,Ministerial,,"Yes, but not tabled",Other,Private Sector,26 394 882 199,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",,,,67 Ellenborough Street,North Ipswich,QLD,4305,Australia,http://www.rdaiwm.org.au,,,
B-002701,,RDA QLD Logan & Redlands,"Infrastructure, Transport, Regional Development, Communications and the Arts",C. Other,L. Bodies Linked to the Australian Government through Statutory Contracts Agreements and Delegations,,,"One of 53 Regional Development Australia (RDA) committees established Australia-wide. RDA is a national network of Committees made up of local leaders who work with all levels of government, business and community groups to support the economic development of their regions. RDA Committees have an active and facilitative role in their communities and a clear focus on growing strong and confident regional economies that harness their competitive advantages, seize on economic opportunities and attract investment. Collaborating with other RDA Committees, all levels of government, and the private sector, RDA Committees: a) Facilitate regional economic development outcomes, investment, local procurement and jobs. b) Promote greater regional awareness of and engagement with Australian Government policies, grant programs and research. c) Improve Commonwealth regional policy making by providing intelligence and evidence based advice to the Australian Government on regional development issues. d) Co-ordinate the development of a strategic regional plan, or work with suitable existing regional plans that will align with the Commonwealth?s regional priorities.",Agreement / Treaty / Council Order,Funding Agreement,1/07/2009,,,,0,No,Ministerial,,"Yes, but not tabled",Other,Private Sector,54 726 472 231,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",,,,"Suite 9, Highpoint Business Centre, 3374 Pacific Highway",Springwood,QLD,4127,Australia,http://www.rdaloganandredlands.org.au,,,
B-002664,,Acting Administrator of the Indian Ocean Territories (Christmas Island and Cocos,"Infrastructure, Transport, Regional Development, Communications and the Arts",B. Secondary,E. Statutory Office Holder Offices and Committees,,,"The Minister for Regional Development, Territories and Local Government may appoint a person to act as the Administrator of the Indian Ocean Territories (Christmas Island and Cocos (Keeling) Islands) during any period, or during all periods, when the Administrator is absent from duty or is unable, for any reason, to exercise and perform the powers and functions of his or her office. The Administrator is the most senior Australian Government representative in the Territories and is responsible for the law, order and good governance of the Territories.",Act / Regulation,"Administration Ordinance 1968 (CI), section 7 and Administration Ordinance 1975 (CKI), subsection 6(1)",13/05/1968,,,,1,Yes,Ministerial,,,,,,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",,,,Christmas Island Administration Building,"Jalan Pantai, Christmas Island, Indian Ocean",,6798,,,,,
B-002665,,Administrator of Norfolk Island,"Infrastructure, Transport, Regional Development, Communications and the Arts",B. Secondary,E. Statutory Office Holder Offices and Committees,,,The Administrator is appointed by the Governor-General under the Norfolk Island Administrator Ordinance 2016 and is the most senior Australian Government representative on Norfolk Island.,Act / Regulation,Norfolk Island Act 1979,30/05/1979,,,,1,Yes,Board / Committee / Chairperson / Council,,No,ANAO,,,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",,,,New Military Barracks,Norfolk Island,NSW,2899,Australia,http://www.regional.gov.au/territories/norfolk_island/administrator/index.aspx,,,
B-002666,,Administrator of the Indian Ocean Territories (Christmas Island and Cocos (Keeli,"Infrastructure, Transport, Regional Development, Communications and the Arts",B. Secondary,E. Statutory Office Holder Offices and Committees,,,"The Administrator is the most senior Australian Government representative in the Territories and is responsible for the law, order and good governance of the Territories. Established by the Christmas Island Act 1958 and Administration Ordinance 1968 (CI); and Cocos (Keeling) Act 1955 and Administration Ordinance 1975 (CKI).",Act / Regulation,Christmas Island Act 1958 and Administration Ordinance 1968 (CI) and Cocos (Keeling) Act 1955 and Administration Ordinance 1975 (CKI),13/05/1968,,,,2,Yes,Board / Committee / Chairperson / Council,,,,,,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",,,,Christmas Island Administration Building,"Jalan Pantai, Christmas Island, Indian Ocean",,6798,,,,,
B-002688,,RDA NSW Northern Inland,"Infrastructure, Transport, Regional Development, Communications and the Arts",C. Other,L. Bodies Linked to the Australian Government through Statutory Contracts Agreements and Delegations,,,"One of 53 Regional Development Australia (RDA) committees established Australia-wide. RDA is a national network of Committees made up of local leaders who work with all levels of government, business and community groups to support the economic development of their regions. RDA Committees have an active and facilitative role in their communities and a clear focus on growing strong and confident regional economies that harness their competitive advantages, seize on economic opportunities and attract investment. Collaborating with other RDA Committees, all levels of government, and the private sector, RDA Committees: a) Facilitate regional economic development outcomes, investment, local procurement and jobs. b) Promote greater regional awareness of and engagement with Australian Government policies, grant programs and research. c) Improve Commonwealth regional policy making by providing intelligence and evidence based advice to the Australian Government on regional development issues. d) Co-ordinate the development of a strategic regional plan, or work with suitable existing regional plans that will align with the Commonwealth?s regional priorities.",Agreement / Treaty / Council Order,Funding Agreement,1/07/2009,,,,0,No,Ministerial,,"Yes, but not tabled",Other,Private Sector,67 306 109 661,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",,,,143 Marsh Street,Armidale,NSW,2350,Australia,http://www.rdani.org.au,,,
B-002709,,RDA SA Barossa Gawler Light Adelaide Plains,"Infrastructure, Transport, Regional Development, Communications and the Arts",B. Secondary,H. Inter Jurisdictional and International Bodies,,,"One of 53 Regional Development Australia (RDA) committees established Australia-wide. RDA is a national network of Committees made up of local leaders who work with all levels of government, business and community groups to support the economic development of their regions. RDA Committees have an active and facilitative role in their communities and a clear focus on growing strong and confident regional economies that harness their competitive advantages, seize on economic opportunities and attract investment. Collaborating with other RDA Committees, all levels of government, and the private sector, RDA Committees: a) Facilitate regional economic development outcomes, investment, local procurement and jobs. b) Promote greater regional awareness of and engagement with Australian Government policies, grant programs and research. c) Improve Commonwealth regional policy making by providing intelligence and evidence based advice to the Australian Government on regional development issues. d) Co-ordinate the development of a strategic regional plan, or work with suitable existing regional plans that will align with the Commonwealth?s regional priorities.",Agreement / Treaty / Council Order,Funding Agreement,1/07/2009,,,,0,No,Ministerial,,"Yes, but not tabled",Other,Private Sector,70 509 677 325,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",,,,28 Murray Street,Tanunda,SA,5352,Australia,http://www.barossa.org.au,,,
B-002710,,RDA SA Far North,"Infrastructure, Transport, Regional Development, Communications and the Arts",B. Secondary,H. Inter Jurisdictional and International Bodies,,,"One of 53 Regional Development Australia (RDA) committees established Australia-wide. RDA is a national network of Committees made up of local leaders who work with all levels of government, business and community groups to support the economic development of their regions. RDA Committees have an active and facilitative role in their communities and a clear focus on growing strong and confident regional economies that harness their competitive advantages, seize on economic opportunities and attract investment. Collaborating with other RDA Committees, all levels of government, and the private sector, RDA Committees: a) Facilitate regional economic development outcomes, investment, local procurement and jobs. b) Promote greater regional awareness of and engagement with Australian Government policies, grant programs and research. c) Improve Commonwealth regional policy making by providing intelligence and evidence based advice to the Australian Government on regional development issues. d) Co-ordinate the development of a strategic regional plan, or work with suitable existing regional plans that will align with the Commonwealth?s regional priorities.",Agreement / Treaty / Council Order,funding Agreement,1/07/2009,,,,0,No,Ministerial,,"Yes, but not tabled",Other,Private Sector,94 561 061 743,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",,,,2A Stirling Road,Port Augusta,SA,5700,Australia,http://www.rdafn.com.au,,,
B-002715,,RDA TAS Tasmania,"Infrastructure, Transport, Regional Development, Communications and the Arts",C. Other,L. Bodies Linked to the Australian Government through Statutory Contracts Agreements and Delegations,,,"One of 53 Regional Development Australia (RDA) committees established Australia-wide. RDA is a national network of Committees made up of local leaders who work with all levels of government, business and community groups to support the economic development of their regions. RDA Committees have an active and facilitative role in their communities and a clear focus on growing strong and confident regional economies that harness their competitive advantages, seize on economic opportunities and attract investment. Collaborating with other RDA Committees, all levels of government, and the private sector, RDA Committees: a) Facilitate regional economic development outcomes, investment, local procurement and jobs. b) Promote greater regional awareness of and engagement with Australian Government policies, grant programs and research. c) Improve Commonwealth regional policy making by providing intelligence and evidence based advice to the Australian Government on regional development issues. d) Co-ordinate the development of a strategic regional plan, or work with suitable existing regional plans that will align with the Commonwealth?s regional priorities.",Agreement / Treaty / Council Order,Funding Agreement,1/07/2009,,,,0,No,Ministerial,,"Yes, but not tabled",Other,Private Sector,58 012 013 049,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",,,,"Cornwall Square Transit, 12-16 St John Street",Launceston,TAS,7250,Australia,http://www.rdatasmania.org.au,,,
B-002716,,RDA VIC Barwon South West,"Infrastructure, Transport, Regional Development, Communications and the Arts",B. Secondary,H. Inter Jurisdictional and International Bodies,,,"One of 53 Regional Development Australia (RDA) committees established Australia-wide. RDA is a national network of Committees made up of local leaders who work with all levels of government, business and community groups to support the economic development of their regions. RDA Committees have an active and facilitative role in their communities and a clear focus on growing strong and confident regional economies that harness their competitive advantages, seize on economic opportunities and attract investment. Collaborating with other RDA Committees, all levels of government, and the private sector, RDA Committees: a) Facilitate regional economic development outcomes, investment, local procurement and jobs. b) Promote greater regional awareness of and engagement with Australian Government policies, grant programs and research. c) Improve Commonwealth regional policy making by providing intelligence and evidence based advice to the Australian Government on regional development issues. d) Co-ordinate the development of a strategic regional plan, or work with suitable existing regional plans that will align with the Commonwealth?s regional priorities.",Agreement / Treaty / Council Order,Funding Agreement,1/07/2009,,,,0,No,Other,TBA,"Yes, but not tabled",Other,Private Sector,,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",,,,"Level 2, Harrison Place, 237 Ryrie Street",Geelong,VIC,3220,Australia,http://www.rdv.vic.gov.au/regional-development-australia/committees/barwon-south-west,,,
B-003664,,Cities Reference Group,"Infrastructure, Transport, Regional Development, Communications and the Arts",B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"The Cities Reference Group provides a forum for the Australian Government to seek advice from key stakeholders about issues affecting Australia's cities. The Cities Reference Group draws representatives from across academia, industry, the research community and non-government groups.",Minister,,12/04/2017,,,,0,No,Ministerial,,No,,,,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",,,,,,,,,https://infrastructure.gov.au/cities/cities-reference-group/index.aspx,,,
B-003670,,Joint Commonwealth and Tasmanian Economic Council,"Infrastructure, Transport, Regional Development, Communications and the Arts",B. Secondary,G. Ministerial Councils and Related Bodies including those Established by the COAG,,,The Council aims to drive reforms to improve the performance of the Tasmanian economy.,Prime Minister,,12/12/2013,,,,0,No,Ministerial,,No,,,,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",,,,111 Alinga Street,Canberra City,,2601,Australia,http://regional.gov.au/regional/joint-commonwealth-tasmanian-economic-council/,http://regional.gov.au/regional/joint-commonwealth-tasmanian-economic-council/documents/tor.aspx,,
B-003685,,General Aviation Advisory Network,"Infrastructure, Transport, Regional Development, Communications and the Arts",B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"The purpose of the General Aviation Advisory Network (GAAN) is to operate as a forum where industry representatives can provide advice to the Minister for Infrastructure and Transport on matters affecting the General Aviation (GA) sector; consider pressures, trends and issues facing the GA sector; and make a positive contribution to assist in the development of GA policy.",Minister,,20/01/2017,,,,0,No,Board / Committee / Chairperson / Council,,No,,,,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",,,,111 Alinga Street,Canberra City,ACT,2601,Australia,"https://www.infrastructure.gov.au/infrastructure-transport-vehicles/aviation/general-aviation#:~:text=General%20Aviation%20Advisory%20Network%20The%20General%20Aviation%20Advisory,on%20matters%20affecting%20the%20General%20Aviation%20%28GA%29%20sector",,,
B-003686,,Forum on Western Sydney Airport,"Infrastructure, Transport, Regional Development, Communications and the Arts",B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"The Forum on Western Sydney Airport (FOWSA) has been established to enable the views of the communities of Western Sydney and the Blue Mountains to be heard and taken into account in the planning and development of Western Sydney International (Nancy-Bird Walton) Airport. It will also provide the opportunity for industry, local government and other stakeholder groups to be informed and provide feedback on the opportunities and challenges presented by the introduction of a new major airport in the Sydney basin. A key objective of FOWSA is to promote informed and responsive engagement between community and stakeholder representatives and an Aviation Expert Steering Group on issues relating to airspace management and flight path options, noise abatement and other aircraft operating procedures, and potential noise and amenity impacts from aircraft overflights. This is the statutory role of FOWSA under the Airport Plan Conditions. FOWSA will also provide a mechanism for the Department of Infrastructure, Regional Development and Cities and WSA Co Limited to update residents affected by airport operations, local authorities, airport users and other interested parties on a range of issues relating to the broader planning and development of the airport and their associated impacts. This includes identifying and discussing local employment and business opportunities and seeking ways to ensure the expected benefits are maximised for Western Sydney and surrounding communities.",Other,Minister / Airport Act 1996,10/04/2017,,,,23,No,Ministerial,,No,,,,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",,,,111 Alinga Street,Canberra City,ACT,2601,Australia,http://www.westernsydneyairport.gov.au/forum/index.aspx,,,
B-003638,,Supreme Court of Norfolk Island (Board),"Infrastructure, Transport, Regional Development, Communications and the Arts",B. Secondary,E. Statutory Office Holder Offices and Committees,,,The Norfolk Island Supreme Court is the superior court of record for the Territory of Norfolk Island. It is constituted by a Chief Justice and such other Judges as are appointed by the Governor-General under the Norfolk Island Act 1979 (Cth).,Act / Regulation,Norfolk Island Act 1979,7/08/1979,,,,0,No,Governor-General in Council,,,,,,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",,,,,,,,,,,,
B-003640,,Australian Children's Television Foundation Board,"Infrastructure, Transport, Regional Development, Communications and the Arts",C. Other,L. Bodies Linked to the Australian Government through Statutory Contracts Agreements and Delegations,,,The Australian Children's Television Foundation Board is responsible for the performance of the company and its development and production of television programs for children.,Act / Regulation,"Body established by the Corporations Act 2001, Company constitution or through a Trust Deed; and Victoria Companies Act 1961, Memorandum and Articles of Association of the Australian Children's Television Foundation",1/07/2016,,,,3,No,Commonwealth / State / Territory Minister(s),,"Yes, but not tabled",,,,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",,,,"3rd Floor, 145 Smith Street",Fitzroy,,3065,Australia,https://actf.com.au/about/board_of_directors,https://actf.com.au/about/annual_report/corporate_plan,https://actf.com.au/about/annual_report,
B-004267,,Brisbane Airport Post Implementation Review Advisory Forum,"Infrastructure, Transport, Regional Development, Communications and the Arts",B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"The Brisbane Airport Post Implementation Review Advisory Forum (the Forum) is an independent, community-orientated forum that provides advice to Airservices Australia on the Brisbane Airport Flight Path Changes Post Implementation Review and reports to the Minister for Infrastructure, Transport and Regional Development.",Minister,,24/09/2021,,,,,,,,,,,,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",,,,,,,,,,,,
B-003517,,National Offshore Petroleum Safety and Environmental Management Authority Board,"Industry, Science and Resources",B. Secondary,E. Statutory Office Holder Offices and Committees,,,"The National Offshore Petroleum Safety and Environmental Management Authority (NOPSEMA) Board is an advisory board which provides advice and makes recommendations on policy and strategic matters relating to safety, structural integrity and environmental management in the offshore petroleum sector. Advice and recommendations are provided to the responsible Commonwealth Minister, relevant state and Northern Territory government energy and resources ministers and the NOPSEMA Chief Executive Officer.",Act / Regulation,Offshore Petroleum and Greenhouse Gas Storage Act 2006,1/01/2012,,,,8,Yes,Ministerial,,Yes,ANAO,,,National Offshore Petroleum Safety and Environmental Management Authority,,,,"Level 8, 58 Mounts Bay Road",Perth,WA,6000,Australia,https://www.nopsema.gov.au/about/nopsema-advisory-board/,,https://www.nopsema.gov.au/about/people-planning-and-performance/#Compliance-reporting,
B-003971,,Marine National Facility National Benefit Assessment Panel,"Industry, Science and Resources",B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,The National Benefit Assessment Panel was established in 2016 to advise the MNF Steering Committee on matters relating to the assessment of Criterion 2 for MNF Granted Voyages. Its role does not include the evaluation of User Funded Voyage applications; this process is managed through the Supplementary Scheduling Committee (SSC) who report to the MNF directly for this purpose.,Principal Body / Management Board / Senior Executive Officer,,1/01/2016,,,,,,,,,,,,Commonwealth Scientific and Industrial Research Organisation,,,,,,,,,http://mnf.csiro.au/About/Governance/National-Benefit-Assessment-Panel.aspx,,http://mnf.csiro.au/About/Annual-Report.aspx,
B-004168,,CSIRO Custodial Services Pty Ltd,"Industry, Science and Resources",C. Other,I. Subsidiaries of Corporate Commonwealth Entities and Commonwealth Companies,,,CSIRO Custodial Services Pty Ltd was established for the purpose of providing custodial services under an Australian Financial Services Licence to the Innovation Fund entities,Corporations Act 2001 / Company / Trust Deed / Partnership,,3/04/2020,,,,,,,,No,,,35 640 131 577,Commonwealth Scientific and Industrial Research Organisation,,,,,,,,,,,,
B-004170,,Marine National Facility Steering Committee (MNFSC),"Industry, Science and Resources",B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,The Marine National Facility (MNF) Steering Committee (MNFSC) is an advisory committee to the CSIRO Board and provides advice to the MNF Director on the scientific and technical operations of the MNF.,Act / Regulation,"Established at the discretion of CSIRO, Science and Industry Research Act 1949, section 24",22/05/2015,,,,,,,,,,,,Commonwealth Scientific and Industrial Research Organisation,,,,,,,,,,,,
B-003774,,"CSIRO Fund of Funds, LP (an AFOF)","Industry, Science and Resources",C. Other,I. Subsidiaries of Corporate Commonwealth Entities and Commonwealth Companies,,,"Formed to hold CSIRO and Commonwealth funds for the purpose of investment in eligible venture capital investments, including CSIRO Innovation Fund 1, LP",Corporations Act 2001 / Company / Trust Deed / Partnership,,20/05/2016,,,,,,,,,,,29 344 795 247,Commonwealth Scientific and Industrial Research Organisation,,,,,,,,,,,,
B-003933,,CSIRO Innovation Holding Trust,"Industry, Science and Resources",C. Other,"J. Joint Ventures, Partnerships and Interests in Other Companies",,,Formed to hold CSIRO and Commonwealth funds for the purpose of investment in CSIRO Innovation Follow-on Fund 1 within the CSIRO Innovation Fund. Not considered a separate institutional entity by ABS - part of CSIRO General Partner Pty Ltd (its trustee).,Corporations Act 2001 / Company / Trust Deed / Partnership,,2/07/2018,,,,,,,,,,,15 949 986 528,Commonwealth Scientific and Industrial Research Organisation,,,,Black Mountain Science and Innovation Precinct,Acton,ACT,2601,Australia,,,,
B-000734,,Australia Telescope User Committee,"Industry, Science and Resources",B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"The Australia Telescope Users Committee (ATUC) is a sub-committee to the Australia Telescope Steering Committee. ATUC is a group of ten to fifteen scientists (the number varies from year to year) who represent the users of the Australia Telescope National Facility (ATNF). This committee is appointed by the ATNF Steering Committee and meets twice a year, usually around May and October. ATUC meetings are a forum for the ATNF users to raise any problems they have experienced with the operation of the facilities and to suggest changes to their operation; this discussion provides feedback for the ATNF management. ATUC also discusses and recommends priorities for ATNF future development plans.",Principal Body / Management Board / Senior Executive Officer,,9/10/2014,,,,,,,,No,,,,Commonwealth Scientific and Industrial Research Organisation,,,,,,,,,http://www.atnf.csiro.au/management/atuc/,,,
B-003781,,CSIRO Innovation Fund Discretionary Trust,"Industry, Science and Resources",C. Other,"J. Joint Ventures, Partnerships and Interests in Other Companies",,,"A trust to hold and distribute some of the returns from CSIRO Innovation Fund 1, LP according to an agreed distribution policy administered by CSIRO Innovation Services Pty Ltd",Corporations Act 2001 / Company / Trust Deed / Partnership,,19/01/2017,,,,,,,,,,,88 979 542 247,Commonwealth Scientific and Industrial Research Organisation,,,,,,,,,,,,
B-004080,,CSIRO USA LLC,"Industry, Science and Resources",C. Other,I. Subsidiaries of Corporate Commonwealth Entities and Commonwealth Companies,,,"CSIRO USA LLC is a tax exempt US company established by CSIRO to employ US based staff, enter into agreements for US infrastructure and to seek US Government research funding.",Other,United States of America Company law,25/01/2017,,,,,,,,,,,,Commonwealth Scientific and Industrial Research Organisation,,,,"951 Mariners Island Blvd, Ste 280, California",San Mateo,,94404,United States of America,,,,
B-004081,,CSIRO Innovations LLC,"Industry, Science and Resources",C. Other,I. Subsidiaries of Corporate Commonwealth Entities and Commonwealth Companies,,,CSIRO Innovations LLC is a taxable company established for the purpose of conducting any CSIRO activities in the US that fall outside the tax-exempt public research activities of CSIRO and the tax-exempt CSIRO USA LLC.,Corporations Act 2001 / Company / Trust Deed / Partnership,,25/01/2017,,,,,,,,,,,,Commonwealth Scientific and Industrial Research Organisation,,,,"951 Mariners Island Blvd, Ste 280, California",San Mateo,,94404,United States of America,,,,
B-004121,,Marine National Facility Supplementary Scheduling Committee,"Industry, Science and Resources",B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"The Supplementary Scheduling Committee (SSC) is a specialist working group that advises the Marine National Facility (MNF) Steering Committee about certain categories of sea time applications, and voyage scheduling.",Principal Body / Management Board / Senior Executive Officer,,24/08/2013,,,,,,,,No,,,,Commonwealth Scientific and Industrial Research Organisation,,,,,,,,,https://mnf.csiro.au/en/About/Governance-and-committees/Supplementary-Scheduling-Committee,,,
B-002635,,Australia Telescope Time Assignment Committee,"Industry, Science and Resources",B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"The Australia Telescope Time Assignment Committee (TAC) is advisory to the ATNF Director and is a sub-committee to the Australia Telescope Steering Committee. The TAC assesses proposals submitted for observing time with the Australia Telescope Compact Array (ATCA), the Parkes radio telescope, the Mopra radio telescopes and the Long Baseline Array. Service proposals for the Tidbinbilla 70-m antenna are also assessed. Time is allocated on the basis of scientific merit. The TAC members are appointed by the Australia Telescope National Facility (ATNF) Steering Committee.",Principal Body / Management Board / Senior Executive Officer,,9/10/2014,,,,,,,,No,,,,Commonwealth Scientific and Industrial Research Organisation,,,,,,,,,http://www.atnf.csiro.au/management/tac/,,,
B-002647,,Marine National Facility Scientific Advisory Committee,"Industry, Science and Resources",B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"The Scientific Advisory Committee (SAC) was established as an expert advisory body for the Marine National Facility Steering Committee (MNFSC). The purpose of the Scientific Advisory Committee is to provide advice to the Marine National Facility Steering Committee: ""on scientific operations, equipment needs, assessment of proposals and any other research matters as required concerning annual research voyage schedules and proposed research projects to be undertaken on those voyages"".",Principal Body / Management Board / Senior Executive Officer,,24/08/2015,,,,,,,,No,,,,Commonwealth Scientific and Industrial Research Organisation,,,,,,,,,http://www.marine.csiro.au/nationalfacility/about/scientific-advisory-committee.htm,,,
B-002654,,CSIRO Financial Services Pty Ltd,"Industry, Science and Resources",C. Other,I. Subsidiaries of Corporate Commonwealth Entities and Commonwealth Companies,,,The company has been formed for the primary purpose of managing the CSIRO Innovation Fund announced by the Prime Minister on 7 December 2015 as an element of the National Innovation and Science Agenda.,Principal Body / Management Board / Senior Executive Officer,,18/12/2015,,,,0,,,,,,,82 609 904 289,Commonwealth Scientific and Industrial Research Organisation,,,,,,,,,,,,
B-002656,,Fundación CSIRO Chile Research,"Industry, Science and Resources",C. Other,I. Subsidiaries of Corporate Commonwealth Entities and Commonwealth Companies,,,The Fundación was established to promote Australian-Chilean cooperation in applied scientific research including the operation of an International Centre of Excellence in the field of Mining and Mineral Processing.,Corporations Act 2001 / Company / Trust Deed / Partnership,,30/06/2013,,,,,,,,Yes,Ernst & Young,,,Commonwealth Scientific and Industrial Research Organisation,,,,"Santiago Corporate Office, Avda. Apoquindo 2827, 12th Floor","Las Condes, Santiago Metropolitan Region",,,Chile,http://www.csiro.au/Outcomes/Mineral-Resources/CSIRO-Chile-ES.aspx,,http://www.csiro.au/Portals/About-CSIRO/How-we-work/Budget--Performance/Annual-Report/Annual-Report-2013-14.aspx,
B-002634,,Australia Telescope National Facility Steering Committee,"Industry, Science and Resources",B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,The Australia Telescope National Facility (ATNF) Steering Committee (ATSC) is an advisory committee to the CSIRO Board and provides advice to the ATNF Director on the scientific and technical operations of the ATNF.,Act / Regulation,"Established at the discretion of CSIRO, Science and Industry Research Act 1949, section 24",9/10/2014,,,,,,,,"Yes, but not tabled",,,,Commonwealth Scientific and Industrial Research Organisation,,,,Cnr Vimiera & Pembroke Roads,Marsfield,NSW,2122,Australia,http://www.atnf.csiro.au/management/steering/index.html,,http://www.atnf.csiro.au/the_atnf/annual_reports/index.html,
